series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
36064,Fate/Grand Order,CM,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34321,Fate/Grand Order: First Order,TV Special,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV,21,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
14829,Fate/kaleid liner Prisma☆Illya,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
20509,Fate/kaleid liner Prisma☆Illya 2wei!,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31706,Fate/kaleid liner Prisma☆Illya 3rei!!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
12565,Fate/Prototype,OVA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
356,Fate/stay night,TV,24,0,24,2022-12-18,2022-12-19,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,0,1,2022-12-24,2022-12-24,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,0,1,2022-12-24,2022-12-24,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,0,1,2023-01-16,2023-01-16,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
6922,Fate/stay night Movie: Unlimited Blade Works,Movie,1,0,0,0000-00-00,0000-00-00,,6,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
